ActivityNumber,ActivityName,SeasonName,Status,CategoryName,Community Center,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,Minimum Age,Maximum Age,Day(s),NumberOfHours,NumberOfDates,Fee
420.2.0612,Piano Keyboard Level 1,Fall 2013,Cancelled,Music & Theater Arts,Emma Prusch Farm Park,0,2014-01-10T00:00:00,2014-02-14T00:00:00,16:35:00,17:20:00,6,12,F,0,0,84
251.2.1800,Arthritis Foundation Exercise Program,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,10,2013-09-04T00:00:00,2013-09-27T00:00:00,15:15:00,16:15:00,50,0,W F,8,8,37
251.2.1801,Arthritis Foundation Exercise Program,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,7,2013-10-02T00:00:00,2013-10-25T00:00:00,15:15:00,16:15:00,50,0,W F,8,8,37
251.2.1802,Arthritis Foundation Exercise Program,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,8,2013-10-30T00:00:00,2013-11-22T00:00:00,15:15:00,16:15:00,50,0,W F,8,8,37
251.2.1818,Cooking Class,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,14,2013-10-01T00:00:00,2013-10-22T00:00:00,10:00:00,12:00:00,50,0,Tu,8,4,88
251.2.1892,Dance Fit,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,40,2013-09-03T00:00:00,2013-09-26T00:00:00,08:00:00,09:00:00,50,0,Tu Th,8,8,41
251.2.1893,Dance Fit,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,40,2013-10-01T00:00:00,2013-10-31T00:00:00,08:00:00,09:00:00,50,0,Tu Th,10,10,49
251.2.1894,Dance Fit,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,40,2013-11-05T00:00:00,2013-12-12T00:00:00,08:00:00,09:00:00,50,0,Tu Th,11,11,53
251.2.1805,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,9,2013-09-03T00:00:00,2013-11-07T00:00:00,10:20:00,11:20:00,55,0,Tu Th,20,20,60
251.2.1809,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,38,2013-09-13T00:00:00,2013-10-18T00:00:00,09:40:00,10:40:00,50,0,F,6,6,39
251.2.1810,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,34,2013-10-25T00:00:00,2013-12-13T00:00:00,09:40:00,10:40:00,50,0,F,7,7,44
251.2.1811,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,14,2013-09-09T00:00:00,2013-10-21T00:00:00,10:00:00,11:00:00,50,0,M,6,6,39
251.2.1812,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,10,2013-10-28T00:00:00,2013-12-09T00:00:00,10:00:00,11:00:00,50,0,M,6,6,39
251.2.1831,Flower Arrangement Workshop,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,3,2013-09-14T00:00:00,2013-09-14T00:00:00,09:30:00,11:30:00,50,0,Sa,2,1,48
251.2.1820,Hula Hawaiian Dance,Fall 2013,Cancelled,Active Adults (50+) Classes,Almaden Community Center,0,2013-09-20T00:00:00,2013-10-25T00:00:00,14:00:00,15:00:00,50,0,F,6,6,37
251.2.1822,Line Dance Beginner/Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,45,2013-10-17T00:00:00,2013-12-05T00:00:00,08:30:00,11:30:00,50,0,Th,21,7,24
251.2.1824,Line Dance Beginner/Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,31,2013-09-05T00:00:00,2013-10-10T00:00:00,08:30:00,11:30:00,50,0,Th,18,6,24
